ID,checking_balance,months_loan_duration,credit_history,purpose,amount,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,job,dependents,telephone,foreign_worker,default
411,1 - 200 $,24,repaid,radio/tv,1967,> 7 yrs,4,female,none,4,other,20,none,own,1,skilled employee,1,yes,yes,0
412,unknown,33,critical,car (used),7253,4 - 7 yrs,3,single male,none,2,other,35,none,own,2,mangement self-employed,1,yes,yes,0
413,unknown,12,critical,business,2292,unemployed,4,single male,none,2,other,42,stores,own,2,mangement self-employed,1,yes,yes,1
414,unknown,10,repaid,car (new),1597,1 - 4 yrs,3,single male,none,2,unknown/none,40,none,rent,1,unskilled resident,2,none,no,0
415,< 0 $,24,repaid,car (new),1381,1 - 4 yrs,4,female,none,2,building society savings,35,none,own,1,skilled employee,1,none,yes,1
416,unknown,36,critical,car (used),5842,> 7 yrs,2,single male,none,2,building society savings,35,none,own,2,skilled employee,2,yes,yes,0
417,< 0 $,12,repaid,car (new),2579,0 - 1 yrs,4,single male,none,1,real estate,33,none,own,1,unskilled resident,2,none,yes,1
418,< 0 $,18,delayed,education,8471,1 - 4 yrs,1,female,none,2,other,23,none,rent,2,skilled employee,1,yes,yes,0
419,unknown,21,repaid,car (new),2782,4 - 7 yrs,1,female,none,2,other,31,bank,own,1,mangement self-employed,1,none,yes,0
420,1 - 200 $,18,repaid,car (new),1042,1 - 4 yrs,4,female,none,2,building society savings,33,none,own,1,skilled employee,1,none,yes,1
421,unknown,15,repaid,car (new),3186,4 - 7 yrs,2,female,none,3,other,20,none,rent,1,skilled employee,1,none,yes,0
422,1 - 200 $,12,repaid,car (used),2028,1 - 4 yrs,4,single male,none,2,other,30,none,own,1,skilled employee,1,none,yes,0
423,1 - 200 $,12,critical,car (new),958,4 - 7 yrs,2,single male,none,3,real estate,47,none,own,2,unskilled resident,2,none,yes,0
424,unknown,21,delayed,furniture,1591,4 - 7 yrs,4,single male,none,3,real estate,34,none,own,2,mangement self-employed,1,none,yes,0
425,1 - 200 $,12,repaid,furniture,2762,> 7 yrs,1,female,none,2,building society savings,25,bank,own,1,skilled employee,1,yes,yes,1
426,1 - 200 $,18,repaid,car (used),2779,1 - 4 yrs,1,married male,none,3,other,21,none,rent,1,skilled employee,1,yes,yes,0
427,unknown,28,critical,radio/tv,2743,> 7 yrs,4,single male,none,2,other,29,none,own,2,skilled employee,1,none,yes,0
428,unknown,18,critical,radio/tv,1149,1 - 4 yrs,4,single male,none,3,real estate,46,none,own,2,skilled employee,1,none,yes,0
429,unknown,9,repaid,furniture,1313,> 7 yrs,1,single male,none,4,other,20,none,own,1,skilled employee,1,none,yes,0
430,< 0 $,18,critical,repairs,1190,unemployed,2,female,none,4,unknown/none,55,none,for free,3,unemployed non-resident,2,none,yes,1
431,unknown,5,repaid,business,3448,4 - 7 yrs,1,single male,none,4,real estate,74,none,own,1,unskilled resident,1,none,yes,0
432,1 - 200 $,24,repaid,others,11328,1 - 4 yrs,2,single male,co-applicant,3,other,29,bank,own,2,mangement self-employed,1,yes,yes,1
433,< 0 $,6,critical,furniture,1872,unemployed,4,single male,none,4,unknown/none,36,none,for free,3,mangement self-employed,1,yes,yes,0
434,unknown,24,critical,repairs,2058,1 - 4 yrs,4,divorced male,none,2,real estate,33,none,own,2,skilled employee,1,yes,yes,0
435,< 0 $,9,repaid,furniture,2136,1 - 4 yrs,3,single male,none,2,real estate,25,none,own,1,skilled employee,1,none,yes,0
436,1 - 200 $,12,repaid,radio/tv,1484,1 - 4 yrs,2,married male,none,1,real estate,25,none,own,1,skilled employee,1,yes,yes,1
437,unknown,6,repaid,repairs,660,4 - 7 yrs,2,married male,none,4,real estate,23,none,rent,1,unskilled resident,1,none,yes,0
438,unknown,24,critical,car (new),1287,> 7 yrs,4,female,none,4,real estate,37,none,own,2,skilled employee,1,yes,yes,0
439,< 0 $,42,critical,repairs,3394,unemployed,4,single male,co-applicant,4,other,65,none,own,2,unemployed non-resident,1,none,yes,0
440,> 200 $,12,fully repaid this bank,business,609,0 - 1 yrs,4,female,none,1,real estate,26,none,own,1,unemployed non-resident,1,none,yes,1
441,unknown,12,repaid,car (new),1884,> 7 yrs,4,single male,none,4,other,39,none,own,1,mangement self-employed,1,yes,yes,0
442,< 0 $,12,repaid,furniture,1620,1 - 4 yrs,2,female,co-applicant,3,building society savings,30,none,own,1,skilled employee,1,none,yes,0
443,1 - 200 $,20,delayed,others,2629,1 - 4 yrs,2,single male,none,3,other,29,bank,own,2,skilled employee,1,yes,yes,0
444,unknown,12,repaid,education,719,> 7 yrs,4,single male,none,4,other,41,bank,own,1,unskilled resident,2,none,yes,1
445,1 - 200 $,48,critical,furniture,5096,1 - 4 yrs,2,female,none,3,other,30,none,own,1,mangement self-employed,1,yes,yes,1
446,unknown,9,critical,education,1244,> 7 yrs,4,female,none,4,building society savings,41,none,rent,2,unskilled resident,1,none,yes,0
447,< 0 $,36,repaid,car (new),1842,0 - 1 yrs,4,female,none,4,other,34,none,own,1,skilled employee,1,yes,yes,1
448,1 - 200 $,7,repaid,radio/tv,2576,1 - 4 yrs,2,single male,guarantor,2,real estate,35,none,own,1,skilled employee,1,none,yes,0
449,> 200 $,12,repaid,furniture,1424,> 7 yrs,3,female,none,4,real estate,55,none,own,1,mangement self-employed,1,yes,yes,0
450,1 - 200 $,15,delayed,repairs,1512,1 - 4 yrs,3,married male,none,3,building society savings,61,stores,own,2,skilled employee,1,none,yes,1
451,unknown,36,critical,car (used),11054,1 - 4 yrs,4,single male,none,2,other,30,none,own,1,mangement self-employed,1,yes,yes,0
452,unknown,6,repaid,radio/tv,518,1 - 4 yrs,3,female,none,1,real estate,29,none,own,1,skilled employee,1,none,yes,0
453,unknown,12,fully repaid,furniture,2759,> 7 yrs,2,single male,none,4,building society savings,34,none,own,2,skilled employee,1,none,yes,0
454,unknown,24,repaid,car (used),2670,> 7 yrs,4,single male,none,4,other,35,none,own,1,mangement self-employed,1,yes,yes,0
455,< 0 $,24,repaid,car (new),4817,4 - 7 yrs,2,single male,co-applicant,3,building society savings,31,none,own,1,skilled employee,1,yes,yes,1
456,unknown,24,repaid,car (used),2679,0 - 1 yrs,4,female,none,1,unknown/none,29,none,own,1,mangement self-employed,1,yes,yes,0
457,< 0 $,11,critical,car (new),3905,1 - 4 yrs,2,single male,none,2,real estate,36,none,rent,2,skilled employee,2,none,yes,0
458,< 0 $,12,repaid,car (used),3386,> 7 yrs,3,single male,none,4,unknown/none,35,none,for free,1,skilled employee,1,yes,yes,1
459,< 0 $,6,repaid,domestic appliances,343,0 - 1 yrs,4,female,none,1,real estate,27,none,own,1,skilled employee,1,none,yes,0
460,unknown,18,repaid,radio/tv,4594,0 - 1 yrs,3,single male,none,2,other,32,none,own,1,skilled employee,1,yes,yes,0
461,< 0 $,36,repaid,furniture,3620,1 - 4 yrs,1,single male,guarantor,2,building society savings,37,none,own,1,skilled employee,2,none,yes,0
462,< 0 $,15,repaid,car (new),1721,0 - 1 yrs,2,single male,none,3,real estate,36,none,own,1,skilled employee,1,none,yes,0
463,1 - 200 $,12,repaid,furniture,3017,0 - 1 yrs,3,female,none,1,real estate,34,none,rent,1,mangement self-employed,1,none,yes,0
464,1 - 200 $,12,repaid,retraining,754,> 7 yrs,4,single male,none,4,building society savings,38,none,own,2,skilled employee,1,none,yes,0
465,unknown,18,repaid,business,1950,4 - 7 yrs,4,single male,none,1,other,34,stores,own,2,skilled employee,1,yes,yes,0
466,< 0 $,24,repaid,car (used),2924,1 - 4 yrs,3,single male,guarantor,4,unknown/none,63,bank,own,1,skilled employee,2,yes,yes,0
467,< 0 $,24,delayed,radio/tv,1659,0 - 1 yrs,4,female,none,2,other,29,none,rent,1,unskilled resident,1,yes,yes,1
468,unknown,48,delayed,radio/tv,7238,> 7 yrs,3,single male,none,3,other,32,bank,own,2,skilled employee,2,none,yes,0
469,unknown,33,delayed,business,2764,1 - 4 yrs,2,female,none,2,other,26,none,own,2,skilled employee,1,yes,yes,0
470,unknown,24,delayed,car (used),4679,4 - 7 yrs,3,single male,none,3,other,35,none,own,2,unskilled resident,1,yes,yes,0
471,1 - 200 $,24,repaid,radio/tv,3092,0 - 1 yrs,3,married male,none,2,other,22,none,rent,1,skilled employee,1,yes,yes,1
472,< 0 $,6,repaid,education,448,0 - 1 yrs,4,female,none,4,building society savings,23,none,own,1,skilled employee,1,none,yes,1
473,< 0 $,9,repaid,car (new),654,1 - 4 yrs,4,single male,none,3,other,28,none,own,1,unskilled resident,1,none,yes,1
474,unknown,6,repaid,retraining,1238,unemployed,4,single male,none,4,building society savings,36,none,own,1,mangement self-employed,2,yes,yes,0
475,1 - 200 $,18,critical,radio/tv,1245,1 - 4 yrs,4,married male,none,2,other,33,none,own,1,skilled employee,1,none,yes,1
476,< 0 $,18,fully repaid,furniture,3114,0 - 1 yrs,1,female,none,4,building society savings,26,none,rent,1,skilled employee,1,none,yes,1
477,unknown,39,repaid,car (used),2569,1 - 4 yrs,4,single male,none,4,other,24,none,own,1,skilled employee,1,none,yes,0
478,> 200 $,24,repaid,radio/tv,5152,4 - 7 yrs,4,single male,none,2,other,25,bank,own,1,skilled employee,1,none,yes,0
479,1 - 200 $,12,repaid,business,1037,4 - 7 yrs,3,single male,none,4,real estate,39,none,own,1,unskilled resident,1,none,yes,0
480,< 0 $,15,critical,furniture,1478,> 7 yrs,4,single male,none,4,other,44,none,own,2,skilled employee,2,yes,yes,0
481,1 - 200 $,12,critical,radio/tv,3573,1 - 4 yrs,1,female,none,1,real estate,23,none,own,1,unskilled resident,1,none,yes,0
482,1 - 200 $,24,repaid,car (new),1201,0 - 1 yrs,4,single male,none,1,building society savings,26,none,own,1,skilled employee,1,none,yes,0
483,< 0 $,30,repaid,furniture,3622,> 7 yrs,4,female,none,4,building society savings,57,none,rent,2,skilled employee,1,yes,yes,0
484,unknown,15,delayed,furniture,960,4 - 7 yrs,3,female,none,2,building society savings,30,none,own,2,skilled employee,1,none,yes,0
485,unknown,12,critical,car (new),1163,1 - 4 yrs,4,single male,none,4,real estate,44,none,own,1,skilled employee,1,yes,yes,0
486,1 - 200 $,6,delayed,car (new),1209,unemployed,4,single male,none,4,building society savings,47,none,own,1,mangement self-employed,1,yes,yes,1
487,unknown,12,repaid,radio/tv,3077,1 - 4 yrs,2,single male,none,4,other,52,none,own,1,skilled employee,1,yes,yes,0
488,unknown,24,repaid,car (new),3757,> 7 yrs,4,female,co-applicant,4,unknown/none,62,none,for free,1,skilled employee,1,yes,yes,0
489,unknown,10,repaid,car (new),1418,1 - 4 yrs,3,single male,none,2,real estate,35,none,rent,1,unskilled resident,1,none,no,0
490,unknown,6,repaid,car (new),3518,1 - 4 yrs,2,single male,guarantor,3,building society savings,26,none,rent,1,skilled employee,1,none,yes,0
491,unknown,12,critical,radio/tv,1934,> 7 yrs,2,single male,none,2,unknown/none,26,none,own,2,skilled employee,1,none,yes,0
492,1 - 200 $,27,fully repaid,business,8318,> 7 yrs,2,female,none,4,unknown/none,42,none,for free,2,mangement self-employed,1,yes,yes,1
493,unknown,6,critical,radio/tv,1237,1 - 4 yrs,1,female,none,1,building society savings,27,none,own,2,skilled employee,1,none,yes,0
494,1 - 200 $,6,repaid,radio/tv,368,> 7 yrs,4,single male,none,4,building society savings,38,none,own,1,skilled employee,1,none,yes,0
495,< 0 $,12,critical,car (new),2122,1 - 4 yrs,3,single male,none,2,real estate,39,none,rent,2,unskilled resident,2,none,no,0
496,< 0 $,24,repaid,furniture,2996,1 - 4 yrs,2,married male,none,4,other,20,none,own,1,skilled employee,1,none,yes,1
497,1 - 200 $,36,repaid,furniture,9034,0 - 1 yrs,4,single male,co-applicant,1,unknown/none,29,none,rent,1,mangement self-employed,1,yes,yes,1
498,unknown,24,critical,furniture,1585,4 - 7 yrs,4,single male,none,3,building society savings,40,none,own,2,skilled employee,1,none,yes,0
499,1 - 200 $,18,repaid,radio/tv,1301,> 7 yrs,4,married male,guarantor,2,real estate,32,none,own,1,unskilled resident,1,none,yes,0
500,> 200 $,6,critical,car (new),1323,> 7 yrs,2,divorced male,none,4,other,28,none,own,2,skilled employee,2,yes,yes,0
501,< 0 $,24,repaid,car (new),3123,0 - 1 yrs,4,female,none,1,building society savings,27,none,own,1,skilled employee,1,none,yes,1
502,< 0 $,36,repaid,car (used),5493,> 7 yrs,2,single male,none,4,unknown/none,42,none,for free,1,skilled employee,2,none,yes,0
503,> 200 $,9,repaid,radio/tv,1126,> 7 yrs,2,divorced male,none,4,real estate,49,none,own,1,skilled employee,1,none,yes,0
504,1 - 200 $,24,critical,radio/tv,1216,0 - 1 yrs,4,single male,none,4,unknown/none,38,bank,own,2,skilled employee,2,none,yes,1
505,< 0 $,24,repaid,car (new),1207,0 - 1 yrs,4,female,none,4,building society savings,24,none,rent,1,skilled employee,1,none,yes,1
506,unknown,10,repaid,car (new),1309,1 - 4 yrs,4,single male,guarantor,4,building society savings,27,none,own,1,unskilled resident,1,none,yes,1
507,> 200 $,15,critical,car (used),2360,1 - 4 yrs,2,single male,none,2,other,36,none,own,1,skilled employee,1,yes,yes,0
508,1 - 200 $,15,fully repaid this bank,car (new),6850,unemployed,1,single male,none,2,building society savings,34,none,own,1,mangement self-employed,2,yes,yes,1
509,unknown,24,repaid,radio/tv,1413,1 - 4 yrs,4,married male,none,2,building society savings,28,none,own,1,skilled employee,1,none,yes,0
510,unknown,39,repaid,car (used),8588,> 7 yrs,4,single male,none,2,other,45,none,own,1,mangement self-employed,1,yes,yes,0
511,< 0 $,12,repaid,car (new),759,4 - 7 yrs,4,single male,none,2,real estate,26,none,own,1,skilled employee,1,none,yes,1
512,unknown,36,repaid,car (used),4686,1 - 4 yrs,2,single male,none,2,unknown/none,32,none,for free,1,mangement self-employed,1,yes,yes,0
513,> 200 $,15,repaid,business,2687,4 - 7 yrs,2,single male,none,4,building society savings,26,none,rent,1,skilled employee,1,yes,yes,0
514,1 - 200 $,12,delayed,radio/tv,585,1 - 4 yrs,4,married male,co-applicant,4,real estate,20,none,rent,2,skilled employee,1,none,yes,0
515,unknown,24,repaid,car (new),2255,0 - 1 yrs,4,single male,none,1,building society savings,54,none,own,1,skilled employee,1,none,yes,0
516,< 0 $,6,critical,car (new),609,4 - 7 yrs,4,female,none,3,building society savings,37,none,own,2,skilled employee,1,none,no,0
517,< 0 $,6,critical,car (new),1361,0 - 1 yrs,2,single male,none,4,real estate,40,none,own,1,unskilled resident,2,none,no,0
518,unknown,36,critical,furniture,7127,0 - 1 yrs,2,female,none,4,building society savings,23,none,rent,2,skilled employee,1,yes,yes,1
519,< 0 $,6,repaid,car (new),1203,> 7 yrs,3,single male,none,2,building society savings,43,none,own,1,skilled employee,1,yes,yes,0
520,unknown,6,critical,radio/tv,700,> 7 yrs,4,single male,none,4,unknown/none,36,none,for free,2,skilled employee,1,none,yes,0
521,unknown,24,critical,repairs,5507,> 7 yrs,3,single male,none,4,unknown/none,44,none,for free,2,skilled employee,1,none,yes,0
522,< 0 $,18,repaid,radio/tv,3190,1 - 4 yrs,2,female,none,2,real estate,24,none,own,1,skilled employee,1,none,yes,1
523,< 0 $,48,fully repaid,furniture,7119,1 - 4 yrs,3,single male,none,4,unknown/none,53,none,for free,2,skilled employee,2,none,yes,1
524,unknown,24,repaid,car (used),3488,4 - 7 yrs,3,female,none,4,other,23,none,own,1,skilled employee,1,none,yes,0
525,1 - 200 $,18,repaid,radio/tv,1113,1 - 4 yrs,4,female,guarantor,4,real estate,26,none,own,1,unskilled resident,2,none,yes,0
526,1 - 200 $,26,repaid,car (used),7966,0 - 1 yrs,2,single male,none,3,other,30,none,own,2,skilled employee,1,none,yes,0
527,unknown,15,critical,education,1532,1 - 4 yrs,4,female,none,3,other,31,none,own,1,skilled employee,1,none,yes,0
528,unknown,4,critical,radio/tv,1503,4 - 7 yrs,2,single male,none,1,real estate,42,none,own,2,unskilled resident,2,none,yes,0
529,< 0 $,36,repaid,radio/tv,2302,1 - 4 yrs,4,divorced male,none,4,other,31,none,rent,1,skilled employee,1,none,yes,1
530,< 0 $,6,repaid,car (new),662,0 - 1 yrs,3,single male,none,4,real estate,41,none,own,1,unskilled resident,2,yes,yes,0
531,1 - 200 $,36,repaid,education,2273,4 - 7 yrs,3,single male,none,1,other,32,none,own,2,skilled employee,2,none,yes,0
532,1 - 200 $,15,repaid,car (new),2631,1 - 4 yrs,2,female,none,4,other,28,none,rent,2,skilled employee,1,yes,yes,1
533,unknown,12,delayed,car (used),1503,1 - 4 yrs,4,married male,none,4,real estate,41,none,rent,1,skilled employee,1,none,yes,0
534,unknown,24,repaid,radio/tv,1311,4 - 7 yrs,4,married male,none,3,building society savings,26,none,own,1,skilled employee,1,yes,yes,0
535,unknown,24,repaid,radio/tv,3105,0 - 1 yrs,4,single male,none,2,other,25,none,own,2,skilled employee,1,none,yes,0
536,> 200 $,21,critical,education,2319,0 - 1 yrs,2,divorced male,none,1,other,33,none,rent,1,skilled employee,1,none,yes,1
537,< 0 $,6,repaid,car (new),1374,unemployed,4,female,none,3,building society savings,75,none,own,1,mangement self-employed,1,yes,yes,0
538,1 - 200 $,18,critical,furniture,3612,> 7 yrs,3,female,none,4,building society savings,37,none,own,1,skilled employee,1,yes,yes,0
539,< 0 $,48,repaid,car (new),7763,> 7 yrs,4,single male,none,4,unknown/none,42,bank,for free,1,mangement self-employed,1,none,yes,1
540,> 200 $,18,repaid,furniture,3049,0 - 1 yrs,1,female,none,1,building society savings,45,stores,own,1,unskilled resident,1,none,yes,0
541,1 - 200 $,12,repaid,radio/tv,1534,0 - 1 yrs,1,married male,none,1,real estate,23,none,rent,1,skilled employee,1,none,yes,1
542,unknown,24,delayed,car (new),2032,> 7 yrs,4,single male,none,4,unknown/none,60,none,for free,2,skilled employee,1,yes,yes,0
543,< 0 $,30,repaid,furniture,6350,> 7 yrs,4,single male,none,4,building society savings,31,none,own,1,skilled employee,1,none,yes,1
544,> 200 $,18,repaid,furniture,2864,1 - 4 yrs,2,single male,none,1,real estate,34,none,own,1,unskilled resident,2,none,yes,1
545,unknown,12,critical,car (new),1255,> 7 yrs,4,single male,none,4,real estate,61,none,own,2,unskilled resident,1,none,yes,0
546,< 0 $,24,delayed,car (new),1333,unemployed,4,single male,none,2,real estate,43,none,for free,2,skilled employee,2,none,yes,1
547,unknown,24,critical,car (new),2022,1 - 4 yrs,4,female,none,4,other,37,none,own,1,skilled employee,1,yes,yes,0
548,unknown,24,repaid,radio/tv,1552,4 - 7 yrs,3,single male,none,1,other,32,bank,own,1,skilled employee,2,none,yes,0
549,< 0 $,12,fully repaid this bank,radio/tv,626,1 - 4 yrs,4,female,none,4,real estate,24,bank,own,1,unskilled resident,1,none,yes,1
550,unknown,48,critical,car (used),8858,4 - 7 yrs,2,single male,none,1,unknown/none,35,none,for free,2,skilled employee,1,yes,yes,0
551,unknown,12,critical,repairs,996,4 - 7 yrs,4,female,none,4,real estate,23,none,own,2,skilled employee,1,none,yes,0
552,unknown,6,fully repaid this bank,radio/tv,1750,> 7 yrs,2,single male,none,4,building society savings,45,bank,own,1,unskilled resident,2,none,yes,0
553,< 0 $,48,repaid,radio/tv,6999,4 - 7 yrs,1,married male,guarantor,1,real estate,34,none,own,2,skilled employee,1,yes,yes,1
554,1 - 200 $,12,critical,car (new),1995,0 - 1 yrs,4,single male,none,1,other,27,none,own,1,skilled employee,1,none,yes,0
555,1 - 200 $,9,repaid,education,1199,4 - 7 yrs,4,female,none,4,building society savings,67,none,own,2,mangement self-employed,1,yes,yes,0
556,1 - 200 $,12,repaid,radio/tv,1331,0 - 1 yrs,2,single male,none,1,other,22,stores,own,1,skilled employee,1,none,yes,1
557,1 - 200 $,18,fully repaid,car (new),2278,0 - 1 yrs,3,female,none,3,other,28,none,own,2,skilled employee,1,none,yes,1
558,unknown,21,fully repaid,car (new),5003,1 - 4 yrs,1,female,none,4,building society savings,29,bank,own,2,skilled employee,1,yes,yes,1
559,< 0 $,24,fully repaid this bank,furniture,3552,4 - 7 yrs,3,single male,none,4,other,27,bank,own,1,skilled employee,1,none,yes,1
560,1 - 200 $,18,critical,furniture,1928,0 - 1 yrs,2,single male,none,2,real estate,31,none,own,2,unskilled resident,1,none,yes,1
561,< 0 $,24,repaid,car (used),2964,> 7 yrs,4,single male,none,4,unknown/none,49,bank,for free,1,skilled employee,2,yes,yes,0
562,< 0 $,24,fully repaid this bank,radio/tv,1546,4 - 7 yrs,4,single male,guarantor,4,other,24,bank,rent,1,unskilled resident,1,none,yes,1
563,> 200 $,6,delayed,radio/tv,683,0 - 1 yrs,2,female,none,1,building society savings,29,bank,own,1,skilled employee,1,none,yes,0
564,1 - 200 $,36,repaid,car (new),12389,1 - 4 yrs,1,single male,none,4,unknown/none,37,none,for free,1,skilled employee,1,yes,yes,1
565,1 - 200 $,24,delayed,business,4712,1 - 4 yrs,4,single male,none,2,building society savings,37,bank,own,2,mangement self-employed,1,yes,yes,0
566,1 - 200 $,24,delayed,radio/tv,1553,4 - 7 yrs,3,female,none,2,building society savings,23,none,rent,2,skilled employee,1,yes,yes,0
567,< 0 $,12,repaid,car (new),1372,4 - 7 yrs,2,divorced male,none,3,other,36,none,own,1,skilled employee,1,none,yes,1
568,unknown,24,critical,radio/tv,2578,> 7 yrs,2,single male,none,2,other,34,none,own,1,skilled employee,1,none,yes,0
569,1 - 200 $,48,repaid,radio/tv,3979,4 - 7 yrs,4,single male,none,1,other,41,none,own,2,skilled employee,2,yes,yes,0
570,< 0 $,48,repaid,radio/tv,6758,1 - 4 yrs,3,female,none,2,other,31,none,own,1,skilled employee,1,yes,yes,1
571,< 0 $,24,repaid,furniture,3234,0 - 1 yrs,4,female,none,4,real estate,23,none,rent,1,unskilled resident,1,yes,yes,1
572,unknown,30,critical,radio/tv,5954,4 - 7 yrs,3,single male,co-applicant,2,other,38,none,own,1,skilled employee,1,none,yes,0
573,unknown,24,repaid,car (used),5433,unemployed,2,female,none,4,building society savings,26,none,rent,1,mangement self-employed,1,yes,yes,0
574,< 0 $,15,repaid,business,806,1 - 4 yrs,4,female,none,4,building society savings,22,none,own,1,unskilled resident,1,none,yes,0
575,1 - 200 $,9,repaid,radio/tv,1082,> 7 yrs,4,single male,none,4,other,27,none,own,2,unskilled resident,1,none,yes,0
576,unknown,15,critical,furniture,2788,4 - 7 yrs,2,female,co-applicant,3,other,24,bank,own,2,skilled employee,1,none,yes,0
577,1 - 200 $,12,repaid,radio/tv,2930,4 - 7 yrs,2,female,none,1,real estate,27,none,own,1,skilled employee,1,none,yes,0
578,unknown,24,critical,education,1927,1 - 4 yrs,3,female,none,2,other,33,none,own,2,skilled employee,1,yes,yes,0
579,1 - 200 $,36,critical,car (new),2820,0 - 1 yrs,4,divorced male,none,4,other,27,none,own,2,skilled employee,1,none,yes,1
580,unknown,24,repaid,retraining,937,0 - 1 yrs,4,married male,none,3,other,27,none,own,2,unskilled resident,1,none,yes,0
581,1 - 200 $,18,critical,car (new),1056,> 7 yrs,3,single male,guarantor,3,real estate,30,bank,own,2,skilled employee,1,none,yes,1
582,1 - 200 $,12,critical,car (new),3124,0 - 1 yrs,1,single male,none,3,real estate,49,bank,own,2,unskilled resident,2,none,yes,0
583,unknown,9,repaid,furniture,1388,1 - 4 yrs,4,female,none,2,real estate,26,none,rent,1,skilled employee,1,none,yes,0
584,1 - 200 $,36,repaid,repairs,2384,0 - 1 yrs,4,single male,none,1,unknown/none,33,none,rent,1,unskilled resident,1,none,yes,1
585,unknown,12,repaid,car (new),2133,> 7 yrs,4,female,none,4,unknown/none,52,none,for free,1,mangement self-employed,1,yes,yes,0
586,< 0 $,18,repaid,furniture,2039,1 - 4 yrs,1,female,none,4,real estate,20,bank,rent,1,skilled employee,1,none,yes,1
587,< 0 $,9,critical,car (new),2799,1 - 4 yrs,2,single male,none,2,real estate,36,none,rent,2,skilled employee,2,none,yes,0
588,< 0 $,12,repaid,furniture,1289,1 - 4 yrs,4,single male,guarantor,1,building society savings,21,none,own,1,unskilled resident,1,none,yes,0
589,< 0 $,18,repaid,domestic appliances,1217,1 - 4 yrs,4,married male,none,3,real estate,47,none,own,1,unskilled resident,1,yes,yes,1
590,< 0 $,12,critical,furniture,2246,> 7 yrs,3,single male,none,3,building society savings,60,none,own,2,skilled employee,1,none,yes,1
591,< 0 $,12,critical,radio/tv,385,4 - 7 yrs,4,female,none,3,real estate,58,none,own,4,unskilled resident,1,yes,yes,0
592,1 - 200 $,24,delayed,car (new),1965,1 - 4 yrs,4,female,none,4,other,42,none,rent,2,skilled employee,1,yes,yes,0
593,unknown,21,repaid,business,1572,> 7 yrs,4,female,none,4,real estate,36,bank,own,1,unskilled resident,1,none,yes,0
594,1 - 200 $,24,repaid,car (new),2718,1 - 4 yrs,3,female,none,4,building society savings,20,none,rent,1,unskilled resident,1,yes,yes,1
595,< 0 $,24,fully repaid this bank,others,1358,> 7 yrs,4,single male,none,3,other,40,stores,own,1,mangement self-employed,1,yes,yes,1
596,1 - 200 $,6,fully repaid this bank,car (new),931,0 - 1 yrs,1,female,none,1,building society savings,32,stores,own,1,unskilled resident,1,none,yes,1
597,< 0 $,24,repaid,car (new),1442,4 - 7 yrs,4,female,none,4,other,23,none,rent,2,skilled employee,1,none,yes,1
598,1 - 200 $,24,fully repaid,business,4241,1 - 4 yrs,1,single male,none,4,real estate,36,none,own,3,unskilled resident,1,yes,yes,1
599,unknown,18,critical,car (new),2775,4 - 7 yrs,2,single male,none,2,building society savings,31,bank,own,2,skilled employee,1,none,yes,1
600,unknown,24,delayed,business,3863,1 - 4 yrs,1,single male,none,2,unknown/none,32,none,for free,1,skilled employee,1,none,yes,0
601,1 - 200 $,7,repaid,radio/tv,2329,0 - 1 yrs,1,female,guarantor,1,real estate,45,none,own,1,skilled employee,1,none,yes,0
602,1 - 200 $,9,repaid,furniture,918,1 - 4 yrs,4,female,none,1,building society savings,30,none,own,1,skilled employee,1,none,yes,1
603,1 - 200 $,24,fully repaid this bank,education,1837,4 - 7 yrs,4,female,none,4,unknown/none,34,bank,for free,1,unskilled resident,1,none,yes,1
604,unknown,36,repaid,furniture,3349,1 - 4 yrs,4,female,none,2,other,28,none,own,1,mangement self-employed,1,yes,yes,1
605,> 200 $,10,repaid,furniture,1275,0 - 1 yrs,4,female,none,2,building society savings,23,none,own,1,skilled employee,1,none,yes,0
606,< 0 $,24,fully repaid this bank,furniture,2828,1 - 4 yrs,4,single male,none,4,real estate,22,stores,own,1,skilled employee,1,yes,yes,0
607,unknown,24,critical,business,4526,1 - 4 yrs,3,single male,none,2,real estate,74,none,own,1,mangement self-employed,1,yes,yes,0
608,1 - 200 $,36,repaid,radio/tv,2671,1 - 4 yrs,4,female,co-applicant,4,unknown/none,50,none,for free,1,skilled employee,1,none,yes,1
609,unknown,18,repaid,radio/tv,2051,0 - 1 yrs,4,single male,none,1,real estate,33,none,own,1,skilled employee,1,none,yes,0
610,unknown,15,repaid,car (used),1300,> 7 yrs,4,single male,none,4,unknown/none,45,bank,for free,1,skilled employee,2,none,yes,0
611,< 0 $,12,repaid,domestic appliances,741,unemployed,4,female,none,3,building society savings,22,none,own,1,skilled employee,1,none,yes,1
612,> 200 $,10,repaid,car (new),1240,> 7 yrs,1,female,none,4,unknown/none,48,none,for free,1,unskilled resident,2,none,yes,1
613,< 0 $,21,repaid,radio/tv,3357,0 - 1 yrs,4,female,none,2,other,29,bank,own,1,skilled employee,1,none,yes,0
614,< 0 $,24,fully repaid this bank,car (used),3632,1 - 4 yrs,1,female,guarantor,4,other,22,bank,rent,1,skilled employee,1,none,no,0
615,unknown,18,delayed,furniture,1808,4 - 7 yrs,4,female,none,1,real estate,22,none,own,1,skilled employee,1,none,yes,1
